a1,ex2,E20,60,medium,0
a2,ex2,A15,180,medium,0
a3,ex2,F52,300,medium,0
a4,ex2,A16,420,medium,0
a5,ex2,E10,540,medium,0
a6,ex2,F59,660,medium,0
a7,ex1,E3,720,heavy,0
a8,ex2,B6,840,medium,0
a9,ex2,E5,960,medium,0
a10,ex1,B4,1080,heavy,0
a11,ex1,E4,1140,heavy,0
a12,ex2,F30,1380,medium,0
a13,ex2,E26,1560,medium,0
a14,ex2,F50,1680,medium,0
a15,ex2,E2,1860,medium,0
a16,ex2,F58,2040,medium,0
a17,ex1,B7,2220,jet,0
a18,ex2,A11,2400,medium,0
a19,ex2,B8,2820,medium,0
a20,ex2,203,3000,medium,0
a21,ex2,F42,3180,medium,0
a22,ex1,F35,3300,heavy,0
a23,ex1,B3,3420,heavy,0
a24,ex2,E28,3480,medium,0
a25,ex2,F56,3600,medium,0
d1,B2,ey2,0,medium,120
d2,A19,ey2,60,medium,120
d3,A20,ey2,180,medium,120
d4,A5,ey1,240,heavy,120
d5,A13,ey2,360,medium,120
d6,F33,ey2,420,medium,120
d7,F32,ey2,840,medium,120
d8,E22,ey2,900,medium,120
d9,F31,ey1,1020,heavy,120
d10,A4,ey1,1260,heavy,120
d11,A3,ey2,1500,medium,120
d12,A17,ey1,1800,heavy,120
d13,A18,ey1,1860,heavy,120
d14,A1,ey1,1980,heavy,120
d15,B10,ey2,2100,medium,120
d16,200,ey2,2160,medium,120
d17,A2,ey1,2220,heavy,120
d18,B1,ey2,2400,medium,120
d19,B9,ey2,2520,medium,120
d20,201,ey1,2640,heavy,120
d21,A10,ey2,2760,medium,120
d22,B5,ey2,2820,medium,120
d23,E27,ey1,3120,heavy,120
